"resp.id","accessibilitymobile","accessibilityweb","authenticationmulti_factor","authenticationsimple","authenticationtwo_factor","customisationhigh","customisationlow","customisationmedium","videomulti_person","videoone_to_one","noneTRUE","noneFALSE","adopters"
2,-1.66853874128947,1.66853874128947,1.61319783344102,-3.36303872343827,1.74984088999725,0.132463753695476,-0.943005120482217,0.810541366786739,0.301782318199859,-0.301782318199859,-3.44354583979673,3.44354583979673,21.9773560334826
3,-2.90274795249523,2.90274795249523,2.39111941228611,-3.87588059392656,1.48476118164045,1.43694810545948,-1.98442296217207,0.547474856712585,1.1690345494623,-1.1690345494623,-3.71948070628689,3.71948070628689,19.6288520228379
4,-2.43571333213118,2.43571333213118,3.22809673711738,-4.11409794053598,0.886001203418603,1.9337688383525,-2.18592377147095,0.252154933118456,1.06020425791594,-1.06020425791594,-3.38161342546688,3.38161342546688,22.3091193312692
5,-1.89674693634561,1.89674693634561,2.69482543950385,-3.17029324260224,0.475467803098402,0.938966383372927,-2.2133913159089,1.27442493253597,0.207311508519113,-0.207311508519113,-3.33461401824014,3.33461401824014,22.9765830620808
6,-1.68734514365364,1.68734514365364,2.3852207951899,-2.90319719963301,0.517976404443104,0.145557227313728,-1.04538241318334,0.899825185869611,1.14262095602843,-1.14262095602843,-2.60552878965758,2.60552878965758,30.1973054498577
7,-1.91081785288572,1.91081785288572,1.9278336160624,-2.24296612556561,0.315132509503213,0.432410860245283,-1.06641401343277,0.634003153187489,0.957646620169748,-0.957646620169748,-2.38862037911087,2.38862037911087,31.1680944839607
8,-2.64707641385335,2.64707641385335,0.788591422708845,-1.46879518480832,0.680203762099473,1.60037283765872,-1.6715875618476,0.0712147241888796,0.58530477593921,-0.58530477593921,-2.71726304001265,2.71726304001265,28.2766324096206
9,-1.54559983655532,1.54559983655532,2.05159563299278,-2.5172108959001,0.465615262907319,1.27376339254432,-1.54521043258194,0.271447040037612,0.661456351318527,-0.661456351318527,-2.2993043584215,2.2993043584215,31.7305219542444
10,-2.4823285869629,2.4823285869629,2.37439295154175,-3.33641234437416,0.962019392832413,1.07480015215482,-1.63451692084817,0.559716768693348,0.580311086698514,-0.580311086698514,-3.80058166306991,3.80058166306991,18.8004348078257
11,-2.63178772568019,2.63178772568019,3.68448633125406,-3.97614026382267,0.291653932568607,0.486986088696695,-1.74352160668909,1.2565355179924,0.126995131021683,-0.126995131021683,-3.66841487571,3.66841487571,19.9485998558434
13,-2.10002730860429,2.10002730860429,2.00379549819377,-2.87954611863057,0.875750620436793,1.32675106535079,-1.89835597902287,0.571604913672091,0.987344245226957,-0.987344245226957,-2.65322084815629,2.65322084815629,28.7062474226395
14,-2.68760374761408,2.68760374761408,3.3454541698812,-4.46417905490493,1.11872488502373,0.595850131877193,-1.78454631988203,1.18869618800483,0.269308733463774,-0.269308733463774,-4.1067732091051,4.1067732091051,16.6667303704709
